KODE_JAGA_ORG,Index_name,Value24,Value23,Value22,Value21,data.instansi,PROVINSI.CLUSTER_KL,KODE_2
1107,Upaya Pencegahan Korupsi,80.35,69.79,82.35,67.87,PEMERINTAH KABUPATEN ACEH BARAT,PROVINSI ACEH,Upaya Pencegahan Korupsi
1108,Eksternal,88.99,86.72,88.56,84.37,PEMERINTAH KABUPATEN ACEH BESAR,PROVINSI ACEH,Eksternal
1108,Integritas Pegawai,96.12,97.73,99.06,95.57,PEMERINTAH KABUPATEN ACEH BESAR,PROVINSI ACEH,Integritas Pegawai
1108,Transparansi dan Keadilan Layanan,83.92,80.24,82.1,82.55,PEMERINTAH KABUPATEN ACEH BESAR,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1108,Upaya Pencegahan Korupsi,85.99,80.81,83.17,73.82,PEMERINTAH KABUPATEN ACEH BESAR,PROVINSI ACEH,Upaya Pencegahan Korupsi
1109,Eksternal,85.43,86.03,83.99,83.61,PEMERINTAH KABUPATEN PIDIE,PROVINSI ACEH,Eksternal
1109,Integritas Pegawai,96.21,95.88,94.44,96.69,PEMERINTAH KABUPATEN PIDIE,PROVINSI ACEH,Integritas Pegawai
1109,Transparansi dan Keadilan Layanan,82.14,81.11,76.21,78.76,PEMERINTAH KABUPATEN PIDIE,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1109,Upaya Pencegahan Korupsi,76.76,79.9,79.93,73.88,PEMERINTAH KABUPATEN PIDIE,PROVINSI ACEH,Upaya Pencegahan Korupsi
1110,Eksternal,87.83,83.75,73.82,84.12,PEMERINTAH KABUPATEN BIREUEN,PROVINSI ACEH,Eksternal
1110,Integritas Pegawai,96.92,93.31,86.01,89.54,PEMERINTAH KABUPATEN BIREUEN,PROVINSI ACEH,Integritas Pegawai
1110,Transparansi dan Keadilan Layanan,84.03,77.71,64.72,85.19,PEMERINTAH KABUPATEN BIREUEN,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1110,Upaya Pencegahan Korupsi,81.49,79.02,69.09,77.17,PEMERINTAH KABUPATEN BIREUEN,PROVINSI ACEH,Upaya Pencegahan Korupsi
1111,Eksternal,84.73,84.32,78.81,82.8,PEMERINTAH KABUPATEN ACEH UTARA,PROVINSI ACEH,Eksternal
1111,Integritas Pegawai,92.65,93.41,92.41,95.15,PEMERINTAH KABUPATEN ACEH UTARA,PROVINSI ACEH,Integritas Pegawai
1111,Transparansi dan Keadilan Layanan,80.04,78.43,73.98,77.77,PEMERINTAH KABUPATEN ACEH UTARA,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1111,Upaya Pencegahan Korupsi,80.49,79.94,68.5,74.05,PEMERINTAH KABUPATEN ACEH UTARA,PROVINSI ACEH,Upaya Pencegahan Korupsi
1112,Eksternal,83.08,86.67,85.98,86.67,PEMERINTAH KABUPATEN ACEH BARAT DAYA,PROVINSI ACEH,Eksternal
1112,Integritas Pegawai,91.24,97.88,97.03,99.46,PEMERINTAH KABUPATEN ACEH BARAT DAYA,PROVINSI ACEH,Integritas Pegawai
1112,Transparansi dan Keadilan Layanan,77.0,81.08,78.78,81.44,PEMERINTAH KABUPATEN ACEH BARAT DAYA,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1112,Upaya Pencegahan Korupsi,79.92,79.68,80.7,77.63,PEMERINTAH KABUPATEN ACEH BARAT DAYA,PROVINSI ACEH,Upaya Pencegahan Korupsi
1113,Eksternal,86.71,84.19,78.28,87.21,PEMERINTAH KABUPATEN GAYO LUES,PROVINSI ACEH,Eksternal
1113,Integritas Pegawai,95.08,96.63,92.93,98.0,PEMERINTAH KABUPATEN GAYO LUES,PROVINSI ACEH,Integritas Pegawai
1113,Transparansi dan Keadilan Layanan,81.87,79.81,70.91,83.55,PEMERINTAH KABUPATEN GAYO LUES,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1113,Upaya Pencegahan Korupsi,82.14,74.73,69.22,78.87,PEMERINTAH KABUPATEN GAYO LUES,PROVINSI ACEH,Upaya Pencegahan Korupsi
1114,Eksternal,83.23,85.59,79.65,73.8,PEMERINTAH KABUPATEN ACEH TAMIANG,PROVINSI ACEH,Eksternal
1114,Integritas Pegawai,90.56,96.39,91.09,84.75,PEMERINTAH KABUPATEN ACEH TAMIANG,PROVINSI ACEH,Integritas Pegawai
1114,Transparansi dan Keadilan Layanan,79.36,79.26,74.03,74.25,PEMERINTAH KABUPATEN ACEH TAMIANG,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1114,Upaya Pencegahan Korupsi,78.85,79.76,72.44,61.37,PEMERINTAH KABUPATEN ACEH TAMIANG,PROVINSI ACEH,Upaya Pencegahan Korupsi
1115,Eksternal,85.99,85.73,79.21,83.12,PEMERINTAH KABUPATEN NAGAN RAYA,PROVINSI ACEH,Eksternal
1115,Integritas Pegawai,91.85,97.11,94.63,97.2,PEMERINTAH KABUPATEN NAGAN RAYA,PROVINSI ACEH,Integritas Pegawai
1115,Transparansi dan Keadilan Layanan,81.68,78.9,71.48,79.91,PEMERINTAH KABUPATEN NAGAN RAYA,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1115,Upaya Pencegahan Korupsi,83.64,79.74,69.64,70.74,PEMERINTAH KABUPATEN NAGAN RAYA,PROVINSI ACEH,Upaya Pencegahan Korupsi
1116,Eksternal,81.39,83.45,80.63,80.52,PEMERINTAH KABUPATEN ACEH JAYA,PROVINSI ACEH,Eksternal
1116,Integritas Pegawai,95.57,97.98,97.85,93.36,PEMERINTAH KABUPATEN ACEH JAYA,PROVINSI ACEH,Integritas Pegawai
1116,Transparansi dan Keadilan Layanan,81.94,83.49,76.09,79.51,PEMERINTAH KABUPATEN ACEH JAYA,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1116,Upaya Pencegahan Korupsi,65.33,67.51,66.07,67.42,PEMERINTAH KABUPATEN ACEH JAYA,PROVINSI ACEH,Upaya Pencegahan Korupsi
1117,Eksternal,86.95,85.07,82.79,76.95,PEMERINTAH KABUPATEN BENER MERIAH,PROVINSI ACEH,Eksternal
1117,Integritas Pegawai,96.48,97.15,96.27,89.63,PEMERINTAH KABUPATEN BENER MERIAH,PROVINSI ACEH,Integritas Pegawai
1117,Transparansi dan Keadilan Layanan,81.47,80.32,76.18,78.12,PEMERINTAH KABUPATEN BENER MERIAH,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1117,Upaya Pencegahan Korupsi,81.7,76.34,74.29,61.95,PEMERINTAH KABUPATEN BENER MERIAH,PROVINSI ACEH,Upaya Pencegahan Korupsi
1118,Eksternal,86.68,84.15,79.41,81.67,PEMERINTAH KABUPATEN PIDIE JAYA,PROVINSI ACEH,Eksternal
1118,Integritas Pegawai,94.42,95.38,93.81,77.93,PEMERINTAH KABUPATEN PIDIE JAYA,PROVINSI ACEH,Integritas Pegawai
1118,Transparansi dan Keadilan Layanan,82.68,78.68,70.21,84.59,PEMERINTAH KABUPATEN PIDIE JAYA,PROVINSI ACEH,Transparansi dan Keadilan Layanan
1118,Upaya Pencegahan Korupsi,81.99,77.05,72.35,82.99,PEMERINTAH KABUPATEN PIDIE JAYA,PROVINSI ACEH,Upaya Pencegahan Korupsi
1171,Eksternal,83.61,87.46,79.44,80.32,PEMERINTAH KOTA BANDA ACEH,PROVINSI ACEH,Eksternal
1171,Integritas Pegawai,94.16,96.4,95.77,91.52,PEMERINTAH KOTA BANDA ACEH,PROVINSI ACEH,Integritas Pegawai
1171,Transparansi dan Keadilan Layanan,77.11,81.53,69.68,77.6,PEMERINTAH KOTA BANDA ACEH,PROVINSI ACEH,Transparansi dan Keadilan Layanan
